lncRNA,miRNA,gene,immune_cell,algo,algo_num,cancer
LINC00943,MIR149,PLXND1,T.cell.CD4.,EPIC,1,BLCA
LINC00943,MIR149,PLXND1,Endothelial.cell,EPIC,1,BLCA
LINC00943,MIR149,PSMD1,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00943,MIR149,PSMD1,Neutrophil,TIMER,1,BLCA
LINC00943,MIR149,PSMD1,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00943,MIR149,PSMD1,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
LINC00943,MIR149,PSMD1,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
LINC00943,MIR149,PSMD1,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00943,MIR149,PSMD1,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00943,MIR149,PSMD1,Monocyte,MCPCOUNTER; XCELL,2,BLCA
LINC00943,MIR149,PSMD1,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00943,MIR149,PSMD1,Eosinophil,XCELL,1,BLCA
LINC00943,MIR149,PSMD1,immune.score,XCELL,1,BLCA
LINC00943,MIR149,PSMD1,T.cell.CD4.,EPIC,1,BLCA
LINC00943,MIR149,PSMD1,Endothelial.cell,EPIC,1,BLCA
LINC00943,MIR149,S1PR2,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
LINC00943,MIR149,S1PR2,Neutrophil,TIMER,1,BLCA
LINC00943,MIR149,S1PR2,Macrophage,TIMER; XCELL; EPIC,3,BLCA
LINC00943,MIR149,S1PR2,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
LINC00943,MIR149,S1PR2,Monocyte,QUANTISEQ; MCPCOUNTER; XCELL,3,BLCA
LINC00943,MIR149,S1PR2,cytotoxicity.score,MCPCOUNTER,1,BLCA
LINC00943,MIR149,S1PR2,NK.cell,MCPCOUNTER; EPIC,2,BLCA
LINC00943,MIR149,S1PR2,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
LINC00943,MIR149,S1PR2,Eosinophil,XCELL,1,BLCA
LINC00943,MIR149,S1PR2,immune.score,XCELL,1,BLCA
LINC00943,MIR149,S1PR2,microenvironment.score,XCELL,1,BLCA
LINC00943,MIR149,S1PR2,T.cell.CD4.,EPIC,1,BLCA
LINC00943,MIR149,S1PR2,Endothelial.cell,EPIC,1,BLCA
MSC-AS1,MIR200C,EDNRA,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
MSC-AS1,MIR200C,EDNRA,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
MSC-AS1,MIR200C,EDNRA,Macrophage,TIMER; XCELL; EPIC,3,BLCA
MSC-AS1,MIR200C,EDNRA,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
MSC-AS1,MIR200C,EDNRA,T.cell.regulatory..Tregs.,CIBERSORT; CIBERSORT.ABS; QUANTISEQ,3,BLCA
MSC-AS1,MIR200C,EDNRA,cytotoxicity.score,MCPCOUNTER,1,BLCA
MSC-AS1,MIR200C,EDNRA,NK.cell,MCPCOUNTER; EPIC,2,BLCA
MSC-AS1,MIR200C,EDNRA,Monocyte,MCPCOUNTER; XCELL,2,BLCA
MSC-AS1,MIR200C,EDNRA,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
MSC-AS1,MIR200C,EDNRA,Eosinophil,XCELL,1,BLCA
MSC-AS1,MIR200C,EDNRA,immune.score,XCELL,1,BLCA
MSC-AS1,MIR200C,EDNRA,stroma.score,XCELL,1,BLCA
MSC-AS1,MIR200C,EDNRA,microenvironment.score,XCELL,1,BLCA
MSC-AS1,MIR200C,EDNRA,T.cell.CD4.,EPIC,1,BLCA
MSC-AS1,MIR200C,PAK2,T.cell.CD8.,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
MSC-AS1,MIR200C,PAK2,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
MSC-AS1,MIR200C,PAK2,Macrophage,TIMER,1,BLCA
MSC-AS1,MIR200C,PAK2,Myeloid.dendritic.cell,TIMER,1,BLCA
MSC-AS1,MIR200C,PAK2,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
MSC-AS1,MIR200C,PAK2,cytotoxicity.score,MCPCOUNTER,1,BLCA
MSC-AS1,MIR200C,PAK2,NK.cell,MCPCOUNTER,1,BLCA
MSC-AS1,MIR200C,PAK2,Monocyte,MCPCOUNTER,1,BLCA
MSC-AS1,MIR200C,PAK2,Eosinophil,XCELL,1,BLCA
MSC-AS1,MIR200C,PAK2,Cancer.associated.fibroblast,XCELL; EPIC,2,BLCA
MSC-AS1,MIR200C,PAK2,stroma.score,XCELL,1,BLCA
MSC-AS1,MIR200C,PAK2,microenvironment.score,XCELL,1,BLCA
MSC-AS1,MIR200C,RHOA,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
MSC-AS1,MIR200C,RHOA,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
MSC-AS1,MIR200C,RHOA,Macrophage,TIMER; XCELL; EPIC,3,BLCA
MSC-AS1,MIR200C,RHOA,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
MSC-AS1,MIR200C,RHOA,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
MSC-AS1,MIR200C,RHOA,cytotoxicity.score,MCPCOUNTER,1,BLCA
MSC-AS1,MIR200C,RHOA,NK.cell,MCPCOUNTER; EPIC,2,BLCA
MSC-AS1,MIR200C,RHOA,Monocyte,MCPCOUNTER; XCELL,2,BLCA
MSC-AS1,MIR200C,RHOA,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
MSC-AS1,MIR200C,RHOA,Eosinophil,XCELL,1,BLCA
MSC-AS1,MIR200C,RHOA,immune.score,XCELL,1,BLCA
MSC-AS1,MIR200C,RHOA,stroma.score,XCELL,1,BLCA
MSC-AS1,MIR200C,RHOA,microenvironment.score,XCELL,1,BLCA
MSC-AS1,MIR200C,RHOA,T.cell.CD4.,EPIC,1,BLCA
NR2F1-AS1,MIR25,BMPR1A,T.cell.CD8.,TIMER,1,BLCA
NR2F1-AS1,MIR25,BMPR1A,Neutrophil,TIMER,1,BLCA
NR2F1-AS1,MIR25,BMPR1A,Macrophage,TIMER,1,BLCA
NR2F1-AS1,MIR25,BMPR1A,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
NR2F1-AS1,MIR25,BMPR1A,T.cell.regulatory..Tregs.,CIBERSORT,1,BLCA
NR2F1-AS1,MIR25,BMPR1A,Endothelial.cell,MCPCOUNTER; EPIC,2,BLCA
NR2F1-AS1,MIR25,BMPR1A,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,BMPR1A,Monocyte,XCELL,1,BLCA
NR2F1-AS1,MIR25,BMPR1A,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,C3,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,C3,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
NR2F1-AS1,MIR25,C3,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,C3,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
NR2F1-AS1,MIR25,C3,NK.cell,QUANTISEQ; MCPCOUNTER,2,BLCA
NR2F1-AS1,MIR25,C3,T.cell.regulatory..Tregs.,QUANTISEQ,1,BLCA
NR2F1-AS1,MIR25,C3,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,C3,B.cell,MCPCOUNTER; EPIC,2,BLCA
NR2F1-AS1,MIR25,C3,Monocyte,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,C3,Endothelial.cell,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,C3,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,C3,Eosinophil,XCELL,1,BLCA
NR2F1-AS1,MIR25,C3,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,C3,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,C3,microenvironment.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,CCL26,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,CCL26,Neutrophil,TIMER; CIBERSORT.ABS,2,BLCA
NR2F1-AS1,MIR25,CCL26,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,CCL26,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
NR2F1-AS1,MIR25,CCL26,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
NR2F1-AS1,MIR25,CCL26,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,CCL26,NK.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,CCL26,B.cell,MCPCOUNTER; EPIC,2,BLCA
NR2F1-AS1,MIR25,CCL26,Monocyte,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,CCL26,Endothelial.cell,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,CCL26,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,CCL26,Eosinophil,XCELL,1,BLCA
NR2F1-AS1,MIR25,CCL26,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,CCL26,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,CCL26,microenvironment.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,CCR4,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,CCR4,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
NR2F1-AS1,MIR25,CCR4,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,CCR4,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
NR2F1-AS1,MIR25,CCR4,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
NR2F1-AS1,MIR25,CCR4,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,CCR4,NK.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,CCR4,B.cell,MCPCOUNTER; EPIC,2,BLCA
NR2F1-AS1,MIR25,CCR4,Monocyte,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,CCR4,Endothelial.cell,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,CCR4,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,CCR4,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,CCR4,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,CCR4,microenvironment.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,ENG,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,ENG,Neutrophil,TIMER; CIBERSORT.ABS,2,BLCA
NR2F1-AS1,MIR25,ENG,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,ENG,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
NR2F1-AS1,MIR25,ENG,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
NR2F1-AS1,MIR25,ENG,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,ENG,NK.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,ENG,B.cell,MCPCOUNTER; EPIC,2,BLCA
NR2F1-AS1,MIR25,ENG,Monocyte,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,ENG,Endothelial.cell,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,ENG,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,ENG,Eosinophil,XCELL,1,BLCA
NR2F1-AS1,MIR25,ENG,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,ENG,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,ENG,microenvironment.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,FGF2,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,FGF2,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
NR2F1-AS1,MIR25,FGF2,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,FGF2,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
NR2F1-AS1,MIR25,FGF2,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
NR2F1-AS1,MIR25,FGF2,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,FGF2,NK.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,FGF2,B.cell,MCPCOUNTER; EPIC,2,BLCA
NR2F1-AS1,MIR25,FGF2,Monocyte,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,FGF2,Endothelial.cell,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,FGF2,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,FGF2,Eosinophil,XCELL,1,BLCA
NR2F1-AS1,MIR25,FGF2,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,FGF2,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,FGF2,microenvironment.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,HSPA8,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,HSPA8,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
NR2F1-AS1,MIR25,HSPA8,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,HSPA8,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
NR2F1-AS1,MIR25,HSPA8,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
NR2F1-AS1,MIR25,HSPA8,NK.cell,QUANTISEQ; MCPCOUNTER,2,BLCA
NR2F1-AS1,MIR25,HSPA8,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,HSPA8,Monocyte,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,HSPA8,Endothelial.cell,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,HSPA8,Cancer.associated.fibroblast,MCPCOUNTER; EPIC,2,BLCA
NR2F1-AS1,MIR25,HSPA8,Eosinophil,XCELL,1,BLCA
NR2F1-AS1,MIR25,HSPA8,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,HSPA8,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,HSPA8,microenvironment.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,IL6ST,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,IL6ST,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
NR2F1-AS1,MIR25,IL6ST,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,IL6ST,Myeloid.dendritic.cell,TIMER; MCPCOUNTER; XCELL,3,BLCA
NR2F1-AS1,MIR25,IL6ST,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
NR2F1-AS1,MIR25,IL6ST,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,IL6ST,NK.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,IL6ST,B.cell,MCPCOUNTER; EPIC,2,BLCA
NR2F1-AS1,MIR25,IL6ST,Monocyte,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,IL6ST,Endothelial.cell,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,IL6ST,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,IL6ST,Eosinophil,XCELL,1,BLCA
NR2F1-AS1,MIR25,IL6ST,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,IL6ST,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,IL6ST,microenvironment.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,ITGAV,T.cell.CD8.,TIMER; CIBERSORT.ABS; MCPCOUNTER,3,BLCA
NR2F1-AS1,MIR25,ITGAV,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
NR2F1-AS1,MIR25,ITGAV,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,ITGAV,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER; XCELL,4,BLCA
NR2F1-AS1,MIR25,ITGAV,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
NR2F1-AS1,MIR25,ITGAV,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,ITGAV,NK.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,ITGAV,B.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,ITGAV,Monocyte,MCPCOUNTER; XCELL,2,BLCA
NR2F1-AS1,MIR25,ITGAV,Endothelial.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,ITGAV,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,ITGAV,Eosinophil,XCELL,1,BLCA
NR2F1-AS1,MIR25,ITGAV,immune.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,ITGAV,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,ITGAV,microenvironment.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,NRAS,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,NRAS,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
NR2F1-AS1,MIR25,NRAS,Macrophage,TIMER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,NRAS,Myeloid.dendritic.cell,TIMER; QUANTISEQ; MCPCOUNTER,3,BLCA
NR2F1-AS1,MIR25,NRAS,T.cell.regulatory..Tregs.,CIBERSORT; QUANTISEQ,2,BLCA
NR2F1-AS1,MIR25,NRAS,cytotoxicity.score,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,NRAS,NK.cell,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,NRAS,Monocyte,MCPCOUNTER,1,BLCA
NR2F1-AS1,MIR25,NRAS,Cancer.associated.fibroblast,MCPCOUNTER; XCELL; EPIC,3,BLCA
NR2F1-AS1,MIR25,NRAS,Endothelial.cell,XCELL; EPIC,2,BLCA
NR2F1-AS1,MIR25,NRAS,Eosinophil,XCELL,1,BLCA
NR2F1-AS1,MIR25,NRAS,stroma.score,XCELL,1,BLCA
NR2F1-AS1,MIR25,OSMR,T.cell.CD8.,TIMER; CIBERSORT.ABS; QUANTISEQ; MCPCOUNTER,4,BLCA
NR2F1-AS1,MIR25,OSMR,Neutrophil,TIMER; CIBERSORT; CIBERSORT.ABS,3,BLCA
